14206:7312 | crop | COMPONENT_SET
14206:7313 | Style=Filled | COMPONENT
14206:7316 | Style=Outlined | COMPONENT
14206:7321 | plus-add | COMPONENT_SET
14206:7322 | Style=Outlined | COMPONENT
14206:7324 | Style=Filled | COMPONENT
14206:7327 | square-plus-add | COMPONENT_SET
14206:7328 | Style=Filled | COMPONENT
14206:7331 | Style=Outlined | COMPONENT
14206:7334 | circle-plus-add | COMPONENT_SET
14206:7335 | Style=Filled | COMPONENT
14206:7338 | Style=Outlined | COMPONENT
14206:7341 | floppy-disk | COMPONENT_SET
14206:7342 | Style=Filled | COMPONENT
14206:7345 | Style=Outlined | COMPONENT
14206:7348 | paperclip | COMPONENT_SET
14206:7349 | Style=Filled | COMPONENT
14206:7352 | Style=Outlined | COMPONENT
14206:7357 | minus | COMPONENT_SET
14206:7358 | Style=Outlined | COMPONENT
14206:7361 | Style=Filled | COMPONENT
14206:7364 | square-minus | COMPONENT_SET
14206:7365 | Style=Filled | COMPONENT
14206:7368 | Style=Outlined | COMPONENT
14206:7371 | circle-minus | COMPONENT_SET
14206:7372 | Style=Filled | COMPONENT
14206:7375 | Style=Outlined | COMPONENT
14206:7378 | trash-can | COMPONENT_SET
